Defect_ID,Module_Name,Severity,Priority,Execution_Time,Defect_Fix_Time,Detected_Phase,Automation_Covered,Tester_Experience,Lines_of_Code,Defect_Reopened,Build_Release
D00153,Notifications,Low,P2,24.31,8.16,Unit Test,1,2.9,1974.0,1,R07
D00154,Search,Low,P3,7.69,3.83,System Test,0,2.5,391.0,0,R14
D00155,Notifications,Critical,P3,8.91,7.54,UAT,0,6.0,421.0,0,R04
D00156,Login,Medium,P2,29.7,9.04,Unit Test,0,3.3,1762.0,0,R07
D00157,Reports,Low,P2,18.21,3.85,Unit Test,0,4.4,827.0,0,R08
D00158,Login,High,P3,3.64,3.9,System Test,0,9.8,339.0,0,R12
D00159,Inventory,Medium,P1,15.17,6.01,UAT,1,8.8,1183.0,0,R17
D00160,Inventory,Medium,P1,,7.17,UAT,1,6.8,1350.0,1,R10
D00161,Dashboard,Medium,P2,21.55,7.77,UAT,0,7.6,1414.0,0,R02
D00162,Notifications,Low,P2,32.34,5.12,Unit Test,1,5.4,1622.0,0,R09
D00163,Reports,Medium,P2,5.86,5.56,System Test,0,7.0,750.0,1,R01
D00164,Reports,Medium,P2,11.46,4.68,UAT,1,2.3,315.0,0,R01
D00165,Dashboard,Critical,P1,5.5,6.94,Unit Test,1,3.6,221.0,0,R03
D00166,Reports,High,P2,6.19,5.89,System Test,0,1.7,174.0,0,R12
D00167,Notifications,Medium,P3,34.51,8.44,System Test,1,7.7,1918.0,0,R15
D00168,Payments,High,P1,22.81,7.33,System Test,1,7.3,1050.0,0,R17
D00169,Inventory,High,P1,9.26,6.39,System Test,1,2.6,486.0,0,R06
D00170,Inventory,Low,P1,18.29,6.3,Unit Test,1,8.1,1186.0,0,R12
D00171,Search,Low,P3,4.26,3.97,System Test,1,3.9,775.0,1,R06
D00172,Notifications,Low,P2,12.54,3.95,System Test,1,,866.0,0,R15
D00173,Inventory,Medium,P2,25.36,7.4,UAT,1,3.0,1594.0,0,R16
D00174,Login,Low,P1,22.78,5.21,Unit Test,0,9.7,1676.0,0,R07
D00175,Reports,Medium,P3,13.61,6.98,Unit Test,1,1.1,854.0,0,R16
D00176,Inventory,Medium,P1,3.75,3.28,Unit Test,1,5.0,125.0,0,R06
D00177,Search,Critical,P1,18.82,9.86,System Test,0,10.0,941.0,0,R06
D00178,Login,High,P3,14.23,5.23,Unit Test,0,8.5,507.0,0,R14
D00179,Inventory,Low,P2,23.0,5.5,System Test,0,2.8,1744.0,0,R03
D00180,Dashboard,Low,P1,13.76,3.89,System Test,0,6.7,551.0,0,R18
D00181,Payments,Critical,P3,30.03,9.28,System Test,0,4.0,1053.0,0,R04
D00182,Notifications,Low,P3,20.83,6.77,System Test,1,3.2,1326.0,0,R20
D00183,Search,Critical,P3,22.15,10.64,UAT,1,8.2,1070.0,0,R02
D00184,Inventory,Medium,P3,27.22,8.28,System Test,0,4.8,1516.0,1,R09
D00185,Reports,Low,P1,8.34,3.37,System Test,0,6.0,1168.0,1,R11
D00186,Notifications,Low,P3,25.1,8.13,System Test,1,4.6,1971.0,0,R20
D00187,Notifications,Medium,P2,12.78,5.84,Unit Test,1,,982.0,1,R06
D00188,Reports,High,P1,15.25,6.62,UAT,1,4.8,1175.0,0,R12
D00189,Search,Medium,P2,26.86,8.28,System Test,0,4.4,1956.0,0,R20
D00190,Reports,Medium,P2,20.47,6.69,UAT,0,,961.0,0,R04
D00191,Login,Medium,P1,14.52,5.36,System Test,0,6.1,780.0,1,R09
D00192,Inventory,Critical,P3,35.83,11.11,System Test,0,1.3,1521.0,0,R06
D00193,Search,Critical,P3,20.62,6.15,System Test,1,4.5,458.0,0,R03
D00194,Inventory,High,P2,23.48,8.39,UAT,1,3.7,1328.0,0,R03
D00195,Search,Critical,P3,21.0,11.15,Unit Test,1,4.4,1519.0,0,R18
D00196,Search,Medium,P3,30.67,9.96,UAT,1,5.2,1863.0,0,R10
D00197,Notifications,Low,P3,18.82,2.83,System Test,1,2.3,1017.0,0,R14
D00198,Search,Medium,P2,24.61,6.26,Unit Test,1,2.3,1367.0,0,R19
D00199,Payments,Medium,P3,3.29,3.38,UAT,0,6.1,246.0,0,R04
D00200,Search,Critical,P2,32.64,10.03,UAT,0,3.6,1356.0,0,R16
D00201,Reports,Low,P2,11.12,1.95,System Test,1,4.0,338.0,0,R16
D00202,Inventory,Low,P2,,7.69,Unit Test,1,5.6,1594.0,0,R11
D00203,Dashboard,Medium,P2,35.73,5.96,System Test,1,1.5,1870.0,0,R14
D00204,Payments,Medium,P3,21.19,8.2,System Test,1,6.9,1330.0,0,R02
D00205,Login,Low,P2,17.79,4.83,System Test,0,9.8,1558.0,0,R06
D00206,Login,Low,P3,17.51,5.84,UAT,1,6.5,1537.0,1,R15
D00207,Search,Medium,P1,1.95,4.28,System Test,1,4.5,349.0,0,R02
D00208,Inventory,Medium,P3,21.92,6.25,Unit Test,0,3.8,995.0,0,R01
D00209,Payments,Critical,P1,8.01,6.52,UAT,1,9.6,299.0,0,R19
D00210,Inventory,High,P1,14.24,6.67,Unit Test,1,8.9,815.0,0,R04
D00211,Reports,High,P2,2.28,5.02,UAT,1,6.1,431.0,1,R11
D00212,Inventory,Low,P2,22.84,4.44,System Test,0,6.5,1322.0,0,R07
D00213,Inventory,High,P2,8.41,6.84,UAT,1,2.4,768.0,0,R07
D00214,Reports,Medium,P1,14.9,,Unit Test,1,8.1,1295.0,0,R17
D00215,Payments,Medium,P3,28.0,7.44,System Test,0,1.1,1528.0,1,R14
D00216,Dashboard,Medium,P2,26.35,6.81,System Test,1,7.7,1528.0,0,R18
D00217,Reports,High,P3,3.5,5.53,Unit Test,1,6.8,288.0,0,R15
D00218,Reports,Medium,P1,7.86,3.62,System Test,0,,183.0,0,R17
D00219,Inventory,Critical,P2,20.92,7.69,Unit Test,0,5.8,801.0,1,R09
D00220,Search,Medium,P2,24.4,7.44,System Test,1,3.7,1334.0,1,R19
D00221,Inventory,Medium,P1,7.72,6.73,Unit Test,1,,541.0,0,R10
D00222,Dashboard,Medium,P2,20.54,7.43,System Test,0,8.2,1405.0,0,R16
D00223,Login,Critical,P3,24.03,7.93,Unit Test,1,1.4,880.0,0,R01
D00224,Login,Medium,P2,5.04,3.41,Unit Test,1,6.9,491.0,0,R02
D00225,Inventory,High,P1,27.5,7.88,UAT,0,3.8,1432.0,0,R18
D00226,Login,Low,P3,21.47,5.66,System Test,1,8.1,1237.0,0,R15
D00227,Dashboard,High,P1,20.42,7.8,System Test,1,1.6,1414.0,0,R04
D00228,Notifications,Low,P1,25.71,5.05,System Test,0,1.8,1565.0,0,R13
D00229,Dashboard,Low,P3,6.73,4.99,System Test,0,8.0,656.0,0,R04
D00230,Search,Medium,P3,31.83,6.82,System Test,1,2.5,1688.0,0,R02
D00231,Dashboard,Low,P1,15.26,4.25,UAT,0,7.3,1534.0,0,R05
D00232,Login,Critical,P3,7.15,6.51,UAT,1,8.2,369.0,1,R10
D00233,Notifications,Medium,P2,10.38,5.79,System Test,0,4.5,863.0,1,R13
D00234,Payments,Low,P2,21.55,4.53,UAT,1,8.6,1500.0,0,R06
D00235,Login,High,P2,18.37,5.32,System Test,1,1.8,634.0,1,R18
D00236,Reports,Medium,P3,5.61,2.07,UAT,1,2.2,248.0,0,R01
D00237,Reports,Low,P2,1.0,2.32,System Test,0,2.2,119.0,0,R14
D00238,Dashboard,High,P3,23.48,8.87,System Test,1,7.9,1521.0,0,R11
D00239,Payments,Medium,P3,16.86,5.13,System Test,1,8.5,956.0,1,R15
D00240,Dashboard,High,P3,22.39,7.89,UAT,1,4.4,1258.0,0,R05
D00241,Search,High,P2,16.38,5.05,Unit Test,0,4.4,172.0,0,R11
D00242,Notifications,High,P2,23.4,9.57,System Test,1,3.6,1616.0,0,R06
D00243,Reports,High,P2,35.18,11.01,Unit Test,1,4.7,1808.0,0,R16
D00244,Notifications,Medium,P3,21.78,6.36,System Test,0,4.8,1315.0,0,R18
D00245,Search,Medium,P2,22.84,6.71,UAT,1,9.7,1748.0,0,R08
D00246,Payments,Critical,P2,34.06,8.9,System Test,1,2.2,1229.0,0,R16
D00247,Payments,Critical,P3,27.18,10.74,Unit Test,0,6.5,1438.0,0,R18
D00248,Search,Medium,P2,21.04,7.17,UAT,1,9.1,1264.0,1,R04
D00249,Payments,High,P2,32.42,9.36,Unit Test,1,1.6,1387.0,0,R07
D00250,Search,Low,P2,8.26,5.47,System Test,1,2.9,713.0,1,R11
D00251,Notifications,Low,P2,3.19,4.55,Unit Test,1,8.1,153.0,0,R12
D00252,Search,Low,P1,5.23,2.21,Unit Test,1,3.1,414.0,0,R11
D00253,Payments,Low,P2,7.02,5.53,UAT,1,6.4,601.0,1,R18
D00254,Notifications,High,P1,1.0,,Unit Test,1,5.3,176.0,1,R02
D00255,Notifications,Low,P3,7.48,3.71,System Test,1,4.5,830.0,0,R13
D00256,Search,Medium,P3,22.36,8.58,Unit Test,1,7.3,1537.0,0,R17
D00257,Search,Critical,P3,14.98,5.39,Unit Test,1,5.9,622.0,1,R09
D00258,Dashboard,Low,P3,11.91,7.99,System Test,0,9.6,1700.0,0,R20
D00259,Dashboard,Low,P3,12.34,5.14,Unit Test,1,7.9,804.0,0,R12
D00260,Notifications,Critical,P3,21.1,7.54,Unit Test,1,2.9,933.0,0,R10
D00261,Login,Critical,P3,16.93,,UAT,0,6.5,243.0,0,R14
D00262,Notifications,High,P3,24.61,6.68,UAT,1,9.6,1070.0,0,R08
D00263,Inventory,Medium,P2,13.6,3.3,Unit Test,0,1.4,373.0,1,R01
D00264,Notifications,Critical,P2,31.39,9.55,UAT,0,6.8,1403.0,0,R07
D00265,Reports,Critical,P2,36.34,12.53,Unit Test,1,8.6,1969.0,0,R13
D00266,Login,High,P1,20.31,8.13,Unit Test,1,7.3,1537.0,0,R08
D00267,Login,High,P2,7.5,6.95,Unit Test,0,6.8,453.0,0,R16
D00268,Dashboard,High,P2,27.58,7.29,UAT,1,2.5,1156.0,0,R07
D00269,Search,Medium,P1,27.1,5.33,UAT,0,3.7,814.0,0,R09
D00270,Search,Low,P3,4.46,2.91,Unit Test,1,1.6,557.0,0,R10
D00271,Notifications,High,P3,30.76,7.18,System Test,1,5.4,988.0,0,R18
D00272,Reports,High,P2,23.67,6.16,System Test,1,2.5,1068.0,1,R02
D00273,Search,High,P3,4.31,8.52,UAT,1,9.4,1012.0,1,R10
D00274,Login,Low,P2,11.84,2.82,System Test,0,5.6,452.0,0,R03
D00275,Search,High,P2,14.78,5.01,System Test,1,8.5,198.0,0,R04
D00276,Inventory,Medium,P2,35.15,9.27,UAT,0,1.9,1649.0,0,R16
D00277,Dashboard,Critical,P3,28.07,9.02,System Test,1,6.3,1113.0,0,R15
D00278,Login,Critical,P3,36.96,10.02,Unit Test,1,5.8,1514.0,0,R18
D00279,Notifications,Critical,P2,12.16,10.13,UAT,1,1.7,693.0,0,R10
D00280,Login,High,P1,17.76,4.27,Unit Test,1,6.3,265.0,1,R15
D00281,Reports,High,P3,15.7,8.4,System Test,1,3.8,1221.0,0,R20
D00282,Search,High,P1,32.0,11.37,System Test,1,2.7,1895.0,1,R03
D00283,Dashboard,Medium,P1,25.46,7.23,UAT,1,2.0,1578.0,0,R06
D00284,Payments,Medium,P2,26.01,6.02,Unit Test,1,2.2,989.0,0,R12
D00285,Login,Low,P1,27.38,2.92,Unit Test,1,1.7,1100.0,0,R18
D00286,Dashboard,Medium,P1,16.13,3.04,UAT,1,8.4,501.0,0,R10
D00287,Dashboard,Medium,P3,29.63,10.17,Unit Test,1,8.5,1797.0,0,R07
D00288,Inventory,Medium,P2,2.22,6.49,System Test,1,1.4,874.0,0,R09
D00289,Reports,High,P2,18.0,6.27,System Test,0,4.6,1066.0,1,R15
D00290,Payments,Low,P1,1.0,2.79,UAT,1,5.0,273.0,0,R13
D00291,Dashboard,Medium,P2,1.36,3.56,UAT,1,4.5,140.0,0,R14
D00292,Search,High,P2,24.01,11.04,Unit Test,1,9.9,1440.0,0,R20
D00293,Inventory,Low,P2,17.03,5.69,UAT,1,5.4,1181.0,1,R09
D00294,Reports,High,P2,27.98,10.02,System Test,0,2.3,1395.0,0,R13
D00295,Reports,Medium,P3,31.33,8.96,System Test,0,1.9,1729.0,0,R12
D00296,Search,Low,P3,21.99,4.56,System Test,1,1.5,1282.0,0,R19
D00297,Notifications,Critical,P3,58.46922445739641,7.6,Unit Test,1,2.4,2020.0073401687168,0,R07
D00298,Login,Low,P1,4.19,3.47,UAT,1,7.3,170.0,0,R02
D00299,Search,Medium,P2,34.09,7.49,Unit Test,0,3.1,1604.0,0,R19
D00300,Inventory,High,P2,14.27,7.56,System Test,1,8.2,879.0,0,R03
D00301,Inventory,Low,P3,33.87,6.54,Unit Test,0,1.1,1776.0,0,R06
D00302,Dashboard,High,P3,21.81,8.79,Unit Test,0,5.2,1167.0,0,R01
D00303,Login,High,P2,14.62,6.37,System Test,0,5.8,335.0,1,R03
D00304,Inventory,High,P2,27.33,7.92,System Test,1,3.5,1501.0,0,R18
D00305,Login,Medium,P3,26.61,7.68,UAT,0,7.0,1930.0,0,R09
D00306,Search,Medium,P3,35.69,8.63,System Test,0,6.0,1863.0,0,R17
D00307,Dashboard,Critical,P3,28.91,9.57,UAT,0,8.3,1379.0,1,R18
D00308,Dashboard,High,P3,13.78,6.49,Unit Test,1,8.8,993.0,1,R09
D00309,Notifications,Critical,P3,30.26,10.61,UAT,0,1.8,1631.0,0,R17
D00310,Notifications,High,P1,12.08,7.48,System Test,0,1.8,1044.0,0,R17
D00311,Reports,Medium,P3,18.8,7.87,Unit Test,0,3.5,1280.0,0,R01
D00312,Inventory,Medium,P2,17.96,7.01,UAT,0,9.1,1140.0,0,R07
D00313,Payments,Low,P1,4.83,2.28,System Test,1,2.8,428.0,0,R16
D00314,Payments,High,P1,15.78,7.19,Unit Test,1,1.5,763.0,0,R18
D00315,Reports,High,P3,26.55,10.66,System Test,1,6.1,1426.0,0,R20
D00316,Dashboard,High,P2,22.93,7.37,System Test,0,1.3,636.0,0,R15
D00317,Inventory,Medium,P1,27.2,8.54,Unit Test,1,6.2,1481.0,1,R15
D00318,Login,Medium,P2,20.93,5.09,System Test,1,5.0,1136.0,0,R07
D00319,Inventory,Medium,P2,2.54,3.62,System Test,0,2.4,175.0,0,R04
D00320,Search,Low,P2,37.61,7.58,System Test,0,8.1,1699.0,0,R16
D00321,Dashboard,Medium,P2,12.42,3.48,System Test,1,5.0,679.0,0,R03
D00322,Login,High,P2,10.34,6.38,System Test,1,5.9,850.0,0,R07
D00323,Notifications,High,P1,32.5,12.27,System Test,1,5.8,1979.0,1,R04
D00324,Search,Low,P1,29.83,6.72,System Test,1,8.2,1713.0,0,R10
D00325,Dashboard,High,P2,27.09,11.26,Unit Test,1,4.9,1796.0,0,R12
D00326,Search,Low,P2,1.0,2.86,UAT,1,4.7,337.0,0,R14
