,Tester_ID,Module,Total_TestCases_Executed,Defects_Found,Defect_Severity_Avg,Automation_Coverage,Execution_Hours,Avg_Closure_Time
67,T001,Dashboard,143,3,3.3,64.4,111.7,12.66
68,T117,Dashboard,55,4,3.1,91.2,26.5,5.71
69,T363,Payments,146,27,2.9,38.7,59.3,21.35
70,T141,Dashboard,115,15,2.1,25.3,8.1,14.36
71,T274,Payments,65,26,1.0,61.1,47.1,17.97
72,T249,Reports,80,16,2.1,78.0,43.5,16.55
73,T204,Inventory,59,14,1.7,76.5,49.4,8.09
74,T500,Search,72,18,2.5,93.7,16.1,13.98
75,T464,Inventory,57,1,3.1,93.8,94.9,7.08
76,T354,Search,49,19,2.9,48.1,110.3,12.47
77,T478,Dashboard,122,0,2.1,73.8,81.1,6.12
78,T153,Payments,50,11,2.2,97.9,60.1,6.2
79,T165,Reports,105,28,4.0,83.6,13.0,13.84
80,T381,Reports,95,28,1.6,96.8,6.3,12.71
81,T192,Payments,89,11,1.3,16.5,79.6,4.59
82,T276,Search,115,15,3.3,28.8,88.2,13.56
83,T499,Dashboard,35,12,1.5,21.0,23.9,4.65
84,T420,Inventory,42,5,4.7,39.5,116.4,11.71
85,T031,Orders,71,8,1.4,27.5,47.9,7.43
86,T011,Search,116,25,2.0,34.6,87.5,11.51
87,T500,Payments,117,16,3.8,31.2,100.2,18.24
88,T445,Inventory,84,2,1.8,46.2,15.3,1.81
89,T104,Login,36,26,1.9,40.1,55.9,12.93
90,T277,Notifications,108,21,2.2,38.4,44.9,16.02
91,T412,Payments,26,27,4.6,28.6,76.0,12.09
92,T265,Inventory,50,10,4.8,20.1,106.4,8.99
93,T343,Search,129,20,2.2,33.1,25.0,11.16
94,T379,Orders,106,2,2.1,35.6,44.7,7.48
95,T283,Search,54,29,,29.0,32.6,17.11
96,T500,Search,102,0,4.4,79.6,50.2,10.37
97,T344,Dashboard,120,29,1.1,88.4,39.1,14.6
98,T175,Inventory,43,11,4.8,98.7,55.2,7.27
99,T048,Inventory,30,10,4.0,17.6,11.6,7.35
